                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.39032,                0.25849,                0.86303,                0.99562,                0.99231,                0.99456,                0.94919,                0.29194,                0.16597,                0.78174,               0.003466,               0.003466,               0.003466
                     68,                0.38956,                0.25677,                0.86238,                0.99551,                0.99208,                0.99457,                 0.9484,                0.29119,                0.16558,                0.78045,               0.003367,               0.003367,               0.003367
                     69,                0.38819,                0.25629,                0.86704,                0.99538,                0.99207,                0.99457,                0.95021,                0.29048,                0.16572,                0.78042,               0.003268,               0.003268,               0.003268
                     70,                0.38617,                0.25399,                0.86455,                0.99534,                0.99204,                0.99457,                0.95038,                0.28991,                0.16556,                0.78043,               0.003169,               0.003169,               0.003169
                     71,                0.38532,                0.25066,                0.86304,                0.99499,                0.99174,                0.99457,                0.95078,                0.28932,                0.16538,                0.78017,                0.00307,                0.00307,                0.00307
                     72,                0.38428,                0.25298,                0.86517,                0.99423,                0.99105,                0.99457,                0.95108,                0.28864,                0.16524,                0.78001,               0.002971,               0.002971,               0.002971
                     73,                 0.3809,                0.24999,                0.86186,                0.99311,                0.99195,                0.99457,                0.95178,                0.28803,                0.16521,                0.77961,               0.002872,               0.002872,               0.002872
                     74,                 0.3791,                0.24624,                0.86251,                0.99225,                0.99407,                0.99457,                0.95075,                0.28746,                0.16488,                0.77987,               0.002773,               0.002773,               0.002773
                     75,                0.37812,                0.24787,                0.86235,                0.99178,                0.99489,                0.99458,                0.95062,                0.28684,                0.16449,                0.78022,               0.002674,               0.002674,               0.002674
                     76,                0.37528,                0.24514,                0.86272,                0.99062,                0.99588,                0.99459,                0.95081,                0.28628,                0.16383,                0.78054,               0.002575,               0.002575,               0.002575
                     77,                0.37359,                 0.2428,                0.86203,                0.99166,                0.99599,                 0.9946,                0.95176,                0.28569,                0.16321,                0.78096,               0.002476,               0.002476,               0.002476
                     78,                0.37119,                0.24062,                0.85833,                0.99333,                0.99556,                0.99459,                0.95352,                0.28494,                  0.162,                 0.7803,               0.002377,               0.002377,               0.002377
                     79,                0.37024,                0.23882,                0.85819,                0.99417,                0.99518,                 0.9946,                0.95393,                0.28425,                 0.1609,                0.77959,               0.002278,               0.002278,               0.002278
                     80,                0.36725,                0.23638,                0.85564,                0.99487,                0.99498,                 0.9946,                0.95392,                0.28357,                 0.1599,                0.77855,               0.002179,               0.002179,               0.002179
                     81,                0.36598,                 0.2349,                0.85423,                0.99488,                0.99519,                0.99462,                  0.955,                0.28298,                 0.1586,                0.77711,                0.00208,                0.00208,                0.00208
                     82,                0.36494,                0.23534,                0.85492,                0.99469,                 0.9956,                0.99462,                  0.955,                0.28233,                 0.1576,                0.77625,               0.001981,               0.001981,               0.001981
                     83,                0.36266,                0.23196,                0.85641,                0.99487,                0.99566,                0.99462,                0.95518,                0.28167,                0.15686,                0.77596,               0.001882,               0.001882,               0.001882
                     84,                 0.3599,                0.23084,                0.85426,                0.99474,                0.99585,                0.99462,                0.95546,                0.28099,                0.15626,                0.77525,               0.001783,               0.001783,               0.001783
                     85,                0.35688,                0.22819,                0.85439,                0.99499,                0.99567,                0.99465,                0.95492,                0.28024,                0.15557,                0.77462,               0.001684,               0.001684,               0.001684
                     86,                0.35383,                0.22424,                0.85107,                0.99514,                0.99557,                0.99465,                0.95598,                 0.2795,                0.15479,                  0.774,               0.001585,               0.001585,               0.001585
                     87,                0.35294,                  0.222,                0.85204,                0.99656,                0.99443,                0.99469,                0.95718,                0.27879,                0.15397,                0.77305,               0.001486,               0.001486,               0.001486
                     88,                0.34973,                 0.2214,                 0.8509,                0.99641,                0.99448,                0.99468,                0.95657,                0.27814,                0.15334,                0.77235,               0.001387,               0.001387,               0.001387
                     89,                0.34925,                0.21943,                0.85261,                0.99619,                 0.9944,                0.99469,                0.95686,                0.27746,                 0.1528,                0.77209,               0.001288,               0.001288,               0.001288
                     90,                0.34689,                 0.2206,                0.85088,                0.99615,                0.99447,                0.99471,                 0.9584,                0.27671,                0.15216,                0.77147,               0.001189,               0.001189,               0.001189
                     91,                0.34309,                 0.2171,                0.85112,                0.99549,                0.99481,                 0.9947,                0.95936,                0.27603,                0.15151,                0.77127,                0.00109,                0.00109,                0.00109
                     92,                0.34212,                0.21409,                0.85143,                0.99493,                0.99524,                0.99474,                 0.9596,                0.27531,                0.15073,                0.77128,               0.000991,               0.000991,               0.000991
                     93,                0.33851,                0.21149,                0.84919,                 0.9944,                0.99563,                0.99478,                0.95982,                0.27463,                 0.1501,                0.77116,               0.000892,               0.000892,               0.000892
                     94,                0.33581,                0.20803,                0.84715,                0.99422,                0.99591,                0.99479,                0.95999,                0.27398,                0.14951,                0.77068,               0.000793,               0.000793,               0.000793
                     95,                0.33395,                 0.2059,                  0.847,                0.99395,                  0.996,                0.99477,                0.96004,                 0.2733,                0.14903,                0.76997,               0.000694,               0.000694,               0.000694
                     96,                0.33125,                 0.2055,                0.84528,                0.99357,                0.99595,                0.99473,                0.96025,                0.27263,                0.14857,                0.76935,               0.000595,               0.000595,               0.000595
                     97,                0.32874,                0.20284,                0.84483,                0.99327,                0.99598,                0.99475,                0.96044,                0.27195,                0.14802,                0.76868,               0.000496,               0.000496,               0.000496
                     98,                0.32498,                0.20026,                0.84364,                0.99322,                0.99552,                0.99476,                0.96063,                0.27125,                0.14765,                0.76805,               0.000397,               0.000397,               0.000397
                     99,                0.32365,                0.19701,                0.84418,                0.99278,                0.99549,                0.99477,                0.96108,                0.27065,                0.14729,                 0.7676,               0.000298,               0.000298,               0.000298
